0,1,2,3,4
1001,DF2,Jong AZ Alkmaar,Twente,Low limit + and Lo.
1002,GD2,Hamburg,Union Berlin,"Not solid, respect MKT move."
1003,ISA,Cagliari,AC Torino,Solid price
1004,FF2,Metz,GFCO Ajaccio,"Not solid, finalize Metz shorter than consensus for expect investment"
1005,EPL,Burnley,Newcastle,"Both have some injury and doubt, net no adj now. Can Small Lay Burnley"
1006,SFL,Real Sociedad,Celta Vigo,
1007,BD1,Botafogo,Parana,"Played on Mon, Bota tiny motivation here so nearly dead here, solid price, 1.60/2.70, OK to open Parana+1 close to MKT, looks no dif for Sunday results."
1008,BD1,Sao Paulo,Sport Recife,"Not solid, Souza dbt, Sport a little more motivation, draw may not good for Sport, played on Mon, please check results after Sunday matches finished, Sport chance to be dead Mon morning."
1009,APL,Defensa y Justicia,Tigre,Tigre -0.05 cple out again
1010,APL,Lanus,Independiente,. SMALL LAY Inde -0.25 HDC @ 1.98. Inde -0.05 cple out inc. Meza
2001,UCL,AEK Athens,Ajax,
2002,UCL,CSKA Moscow,Viktoria Plzen,
2003,FFC,Olympique Nimes,St. Etienne,
2004,ED1,Brentford,Sheff Utd,
2005,ED1,Hull City,Norwich,
2006,ED1,Leeds,Reading,
2007,ED1,Rotherham,QPR,
2008,ED1,Sheff Wednesday,Bolton,
2009,ED1,Preston,Middlesbrough,
2010,ED2,Accrington Stanley,Wycombe,
2011,ED2,Bristol Rovers,Gillingham,
2012,ED2,Burton Albion,Charlton,
2013,ED2,Doncaster,Blackpool,
2014,ED2,Fleetwood,Coventry,
2015,ED2,Luton,Bradford,
2016,ED2,Oxford Utd,Rochdale,
2017,ED2,Peterborough,AFC Wimbledon,
2018,ED2,Portsmouth,Walsall,
2019,ED2,Shrewsbury,Plymouth,
2020,ED2,Southend,Scunthorpe,
2021,ED2,Sunderland,Barnsley,
2022,ELC,Leicester,Southampton,
2023,UCL,Bayern Munich,Benfica,
2024,UCL,Lyon,Manchester City,
2025,UCL,Roma,Real Madrid,
2026,UCL,Juventus,Valencia,
2027,UCL,Hoffenheim,Shakhtar Donetsk,
2028,UCL,Manchester Utd,Young Boys Bern,
2029,APL,Rosario Central,San Martin SJ,
